K_writes,fn_mod64,cycles,predicted_slow
0,48,1.01,
1,32,1.01,
2,16,2.02,
3,16,2.01,
4,16,1.01,
5,16,1.01,
6,32,1.01,
7,48,1.01,
8,0,1.01,
9,32,1.23,
10,0,1.02,
11,48,1.02,
12,32,1.01,
13,16,2.01,
14,16,1.01,
15,16,1.01,
16,16,1.01,
17,32,1.01,
18,48,2.02,
19,16,1.02,
20,48,1.02,
21,32,2.04,1
22,16,2.06,1
23,16,2.06,1
24,16,1.04,0
25,16,1.04,0
26,32,1.03,0
27,48,1.03,0
28,0,1.02,0
29,32,1.02,0
30,0,1.03,0
31,48,1.02,0
32,32,1.01,0
33,16,2.02,1
34,16,2.04,1
35,16,1.05,0
36,16,1.06,0
37,32,1.04,0
38,48,2.04,1
39,16,1.22,0
40,48,1.01,0
41,16,1.01,0
42,0,1.01,0
43,48,1.01,0
44,32,1.01,0
45,32,1.01,0
46,32,1.01,0
47,48,1.01,0
48,0,1.01,0
49,16,1.01,0
50,48,2.02,1
51,16,1.01,0
52,48,1.21,0
53,32,2.02,1
54,16,2.01,1
55,16,2.01,1
56,16,1.01,0
57,16,1.01,0
58,32,1.01,0
59,48,1.01,0
60,0,1.01,0
61,32,1.01,0
62,0,1.22,0
63,48,1.01,0
64,32,1.00,0
65,16,2.00,1
66,16,2.01,1
67,16,1.00,0
68,16,1.00,0
69,32,1.00,0
70,48,2.00,1
71,16,1.21,0
72,48,1.00,0
73,16,1.00,0
74,0,1.00,0
75,48,1.01,0
76,32,1.01,0
77,32,1.00,0
78,32,1.00,0
79,48,1.21,0
80,0,1.00,0
81,16,1.01,0
82,48,2.00,1
83,16,1.00,0
84,48,1.00,0
85,32,2.00,1
86,16,2.00,1
87,16,2.00,1
88,16,1.00,0
89,16,1.01,0
90,32,1.00,0
91,48,1.00,0
92,0,1.00,0
93,32,1.00,0
94,0,1.21,0
95,48,1.00,0
96,32,1.00,0
97,16,2.00,1
98,16,2.00,1
99,16,1.00,0
100,16,1.23,0
101,32,1.01,0
102,16,1.01,0
103,0,1.00,0
104,48,1.00,0
105,32,1.00,0
106,16,1.00,0
107,0,1.00,0
108,48,1.00,0
109,32,1.00,0
110,16,1.00,0
111,0,1.00,0
112,48,1.00,0
113,32,1.00,0
114,16,1.01,0
115,0,1.01,0
116,48,1.00,0
117,32,1.00,0
118,16,1.00,0
119,0,1.00,0
120,48,1.00,0
121,32,1.00,0
122,16,1.00,0
123,0,1.00,0
124,48,1.00,0
125,32,1.00,0
126,16,1.00,0
127,0,1.00,0
