gap_bytes,fn_mod64,top64,top_len,land64,bottom_len,crosses64,ns_per_iter,cycles
0,0,0,7,9,9,0,0.197,1.01
1,0,0,7,10,9,0,0.198,1.02
2,0,0,7,11,9,0,0.196,1.01
3,0,0,7,12,9,0,0.195,1.00
4,0,0,7,13,9,0,0.196,1.01
5,0,0,7,14,9,0,0.197,1.01
6,0,0,7,15,9,0,0.199,1.02
7,0,0,7,16,9,0,0.197,1.01
8,0,0,7,17,9,0,0.196,1.01
9,0,0,7,18,9,0,0.196,1.01
10,0,0,7,19,9,0,0.196,1.01
11,0,0,7,20,9,0,0.195,1.00
12,0,0,7,21,9,0,0.197,1.01
13,0,0,7,22,9,0,0.196,1.00
14,0,0,7,23,9,0,0.196,1.00
15,0,0,7,24,9,0,0.199,1.02
16,0,0,7,25,9,0,0.196,1.01
17,0,0,7,26,9,0,0.198,1.02
18,0,0,7,27,9,0,0.198,1.02
19,0,0,7,28,9,0,0.196,1.01
20,0,0,7,29,9,0,0.200,1.03
21,0,0,7,30,9,0,0.196,1.01
22,0,0,7,31,9,0,0.199,1.02
23,0,0,7,32,9,0,0.196,1.00
24,0,0,7,33,9,0,0.196,1.01
25,0,0,7,34,9,0,0.199,1.02
26,0,0,7,35,9,0,0.196,1.01
27,0,0,7,36,9,0,0.197,1.01
28,0,0,7,37,9,0,0.197,1.01
29,0,0,7,38,9,0,0.198,1.02
30,0,0,7,39,9,0,0.197,1.01
31,0,0,7,40,9,0,0.195,1.00
32,0,0,7,41,9,0,0.195,1.00
33,0,0,7,42,9,0,0.195,1.00
34,0,0,7,43,9,0,0.195,1.00
35,0,0,7,44,9,0,0.196,1.01
36,0,0,7,45,9,0,0.195,1.00
37,0,0,7,46,9,0,0.195,1.00
38,0,0,7,47,9,0,0.196,1.01
39,0,0,7,48,9,0,0.195,1.00
40,0,0,7,49,9,0,0.196,1.01
41,0,0,7,50,9,0,0.195,1.00
42,0,0,7,51,9,0,0.196,1.01
43,0,0,7,52,9,0,0.195,1.00
44,0,0,7,53,9,0,0.196,1.01
45,0,0,7,54,9,0,0.196,1.00
46,0,0,7,55,9,0,0.195,1.00
47,0,0,7,56,9,1,0.392,2.01
48,0,0,7,57,9,1,0.391,2.01
49,0,0,7,58,9,1,0.391,2.01
